
Processing asymmErrorsEff.c...
eff_50_120_barrel.root
eleTruthEta
OK
eff_50_120_barrel.root; Seed barrel: eleTruthPhi; eff = 0.685203; errorLow = 0.00650562; errorHigh = 0.00643477; xbin 1
eff_50_120_barrel.root; UnSeed barrel: eleTruthPhi; eff =  0.956833; errorLow = 0.00297417; errorHigh =  0.00279614; xbin 1
eff_50_120_barrel.root; Seed endcap: eleTruthPhi; eff =  0.726594; errorLow = 0.00845575; errorHigh = 0.00829888; xbin 1
eff_50_120_barrel.root; UnSeed endcap: eleTruthPhi; eff = 0.975916; errorLow = 0.00316688; errorHigh = 0.00282464; xbin 1
eff_50_120_barrel.root; Seed barrel: eleTruthPhi; eff = 0.692808; errorLow = 0.00651285; errorHigh = 0.00643799; xbin 1.4
eff_50_120_barrel.root; UnSeed barrel: eleTruthPhi; eff =  0.963657; errorLow = 0.00277657; errorHigh =  0.00259265; xbin 1.4
eff_50_120_barrel.root; Seed endcap: eleTruthPhi; eff =  0.709667; errorLow = 0.00856967; errorHigh = 0.00842561; xbin 1.4
eff_50_120_barrel.root; UnSeed endcap: eleTruthPhi; eff = 0.971371; errorLow = 0.00339855; errorHigh = 0.00306358; xbin 1.4
eff_50_120_barrel.root; Seed barrel: eleTruthPhi; eff = 0.685171; errorLow = 0.00650016; errorHigh = 0.00642945; xbin 1.8
eff_50_120_barrel.root; UnSeed barrel: eleTruthPhi; eff =  0.958976; errorLow = 0.00290497; errorHigh =  0.00272627; xbin 1.8
eff_50_120_barrel.root; Seed endcap: eleTruthPhi; eff =  0.714433; errorLow = 0.00860822; errorHigh = 0.00845822; xbin 1.8
eff_50_120_barrel.root; UnSeed endcap: eleTruthPhi; eff = 0.969489; errorLow = 0.00352752; errorHigh = 0.00318833; xbin 1.8
eff_50_120_barrel.root; Seed barrel: eleTruthPhi; eff = 0.69579; errorLow = 0.00640904; errorHigh = 0.00633502; xbin 2.2
eff_50_120_barrel.root; UnSeed barrel: eleTruthPhi; eff =  0.95734; errorLow = 0.00294009; errorHigh =  0.00276396; xbin 2.2
eff_50_120_barrel.root; Seed endcap: eleTruthPhi; eff =  0.743642; errorLow = 0.00829298; errorHigh = 0.00812429; xbin 2.2
